PC值      寄存器编号 待写入寄存器的值
00000008   08           00000000        
0000000c   09           ffff0000        
00000010   09           ffffffff        
00000014   10           ffffffff        
00000018   11           00007fff        
0000001c   12           ffff8000        
00000020   13           7fff0000        
00000024   13           7fffffff        
00000028   14           00000001        
0000002c   15           80000000        
00000030   24           80000000        
00000034   25           00000001        
00000038   16           00000001        
0000003c   17           80000000        
00000040   18           0000001f        
00000044   19           ffffffff        
00000048   28           80010000        
0000004c   20           0000000a        
00000054   20           00000014        
0000005c   20           0000001e        
00000064   21           00000000        
00000068   22           00000000        
0000006c   23           00000003        
00000070   02           00000000        
00000074   03           80010000        
00000078   04           0000000a        
00000080   21           0000000a        
00000084   22           00000001        
00000070   02           00000004        
00000074   03           80010004        
00000078   04           00000014        
00000080   21           0000001e        
00000084   22           00000002        
00000070   02           00000008        
00000074   03           80010008        
00000078   04           0000001e        
00000080   21           0000003c        
00000084   22           00000003        
00000094   05           78560000        
00000098   05           78563412        
000000a0   09           78563412        
000000a4   10           abcd0000        
000000a8   10           abcdef12        
000000ac   11           00000012        
000000b0   12           00000018        
000000b4   13           ffffffab        
000000b8   13           000000ab        
000000bc   01           dead0000        
000000c0   01           deadbeef        
